displacement,Attacks miss subject 50% of the time.
illusory-script,Only select creatures can read text.
invisibility-sphere,"Makes everyone within 10 ft. <a href=""glossary.html#_invisible"">invisible</a>."
major-image,"As <i><a href=""spells/silentImage.html#_silent-image"">silent image</a></i>, plus sound, smell and thermal effects."
gentle-repose,Preserves one corpse.
halt-undead-copy,Immobilizes undead for 1 round/level.
ray-of-exhaustion,"Ray makes subject <a href=""glossary.html#_exhausted"">exhausted</a>."
vampiric-touch,Touch deals 1d6 damage per two levels; caster gains damage as temporary hp.
beast-shape-i,You take the form and some of the powers of a Small or Medium animal.
blink,You randomly vanish and reappear for 1 round per level.
flame-arrow,Arrows deal +1d6 fire damage.
fly,Subject flies at speed of 60 ft.
gaseous-form,Subject becomes insubstantial and can fly slowly.
haste,"One creature/level moves faster, +1 on attack rolls, <a href=""combat.html#_armor-class"">AC</a>, and <a href=""combat.html#_reflex"">Reflex</a> saves."
keen-edge,Doubles normal weapon's threat range.
magic-weapon-greater,Weapon gains +1 bonus/four levels (max +5).
secret-page,Changes one page to hide its real content.
shrink-item,Object shrinks to one-sixteenth size.
slow,"One subject/level takes only one action/round, –1 to <a href=""combat.html#_armor-class"">AC</a>, <a href=""combat.html#_reflex"">Reflex</a> saves, and attack rolls."
water-breathing,Subjects can breathe underwater.
dimensional-anchor,Bars extradimensional movement.
fire-trap,Opened object deals 1d4 damage + 1/level.
globe-of-invulnerability-lesser,Stops 1st- through 3rd-level spell effects.
remove-curse,Frees object or person from curse.
stoneskin,"Grants <a href=""glossary.html#_damage-reduction"">DR</a> 10/adamantine."
black-tentacles,Tentacles grapple all creatures within a 20-ft. spread.
dimension-door,Teleports you a short distance.
minor-creation,Creates one cloth or wood object.
secure-shelter,Creates sturdy cottage.
solid-fog,Blocks vision and slows movement.
summon-monster-iv,Summons extraplanar creature to fight for you.
arcane-eye,Invisible floating eye moves 30 ft./round.
detect-scrying,Alerts you to magical eavesdropping
locate-creature,Indicates direction to familiar creature.
scrying,Spies on subject from a distance.
charm-monster,Makes monster believe it is your ally.
confusion,Subjects behave oddly for 1 round/level.
crushing-despair,"Subjects take –2 on attack rolls, damage rolls, saves, and checks."
geas-lesser,Commands subject of 7 HD or less.
fire-shield,Creatures attacking you take fire damage; you're protected from heat or cold.
ice-storm,Hail deals 5d6 damage in cylinder 40 ft. across.
resilient-sphere,Force globe protects but traps one subject.
shout,Deafens all within cone and deals 5d6 sonic damage.
wall-of-fire,Deals 2d4 fire damage out to 10 ft. and 1d4 out to 20 ft. Passing through wall deals 2d6 damage + 1/level.
wall-of-ice,<i>Ice plane </i>creates wall or <i>hemisphere </i>creates dome.
hallucinatory-terrain,"Makes one type of terrain appear like another (field as forest, or the like)."
illusory-wall,"Wall, floor, or ceiling looks real, but anything can pass through."
invisibility-greater,"As <i><a href=""spells/invisibility.html#_invisibility"">invisibility</a>, </i>but subject can attack and stay <a href=""glossary.html#_invisible"">invisible</a>."
phantasmal-killer,Fearsome illusion kills subject or deals 3d6 damage.
rainbow-pattern,Lights fascinate 24 HD of creatures.
shadow-conjuration,"Mimics conjuration below 4th level, but only 20% real."
animate-dead,Creates undead skeletons and zombies out of corpses.
bestow-curse,"–6 to an ability score; –4 on attack rolls, saves, and checks; or 50% chance of losing each action."
contagion,Infects subject with chosen disease.
enervation,"Subject gains 1d4 <a href=""glossary.html#_energy-drain-and-negative-levels"">negative levels</a>."
fear,Subjects within cone flee for 1 round/level.
beast-shape-ii,You take the form and some of the powers of a Tiny or Large animal.
elemental-body-i,Turns you into a Small elemental.
enlarge-person-mass,1 humanoid creature/level doubles in size.
mnemonic-enhancer,<i>Wizard only. </i>Prepare extra spells or retain one just cast.
reduce-person-mass,"As <i><a href=""spells/reducePerson.html#_reduce-person"">reduce person</a></i>, but affects 1 humanoid creature/level."
stone-shape,Sculpts stone into any shape.
break-enchantment,"Frees subjects from enchantments, transmutations, and curses."
dismissal,Forces a creature to return to its native plane.
mage-s-private-sanctum,"Prevents anyone from viewing or <a href=""spells/scrying.html#_scrying"">scrying</a> an area for 24 hours."
cloudkill,"Kills 3 HD or less; 4–6 HD save or die, 6+ HD take <a href=""gettingStarted.html#_constitution"">Con</a> damage."
mage-s-faithful-hound,Phantom dog can guard a location and attack intruders.
major-creation,"As <i><a href=""spells/minorCreation.html#_minor-creation"">minor creation</a>, </i>plus stone and metal."
planar-binding-lesser,Traps extraplanar creature of 6 HD or less until it performs a task.
secret-chest,Hides expensive chest on Ethereal Plane; you retrieve it at will.
summon-monster-v,Summons extraplanar creature to fight for you.
teleport,Instantly transports you as far as 100 miles per level.
wall-of-stone,Creates a stone wall that can be shaped.
contact-other-plane,Lets you ask question of extraplanar entity.
prying-eyes,1d4 + 1/level floating eyes scout for you.
telepathic-bond,Link lets allies communicate.
dominate-person,Controls humanoid telepathically.
feeblemind,"Subject's <a href=""gettingStarted.html#_intelligence"">Int</a> and <a href=""gettingStarted.html#_charisma-new"">Cha</a> drop to 1."
hold-monster,"As <i><a href=""spells/holdPerson.html#_hold-person"">hold person</a></i>, but any creature."
mind-fog,"Subjects in fog get –10 to <a href=""gettingStarted.html#_wisdom"">Wis</a> and <a href=""combat.html#_will"">Will</a> checks."
symbol-of-sleep,Triggered rune puts nearby creatures into catatonic slumber.
cone-of-cold,1d6/level cold damage.
interposing-hand,Hand provides cover against 1 opponent.
sending,"Delivers short message anywhere, instantly."
wall-of-force,Wall is immune to damage.
dream,Sends message to anyone sleeping.
false-vision,"Fools <a href=""spells/scrying.html#_scrying"">scrying</a> with an illusion."
mirage-arcana,"As <i><a href=""spells/hallucinatoryTerrain.html#_hallucinatory-terrain"">hallucinatory terrain</a>, </i>plus structures."
nightmare,"Sends vision dealing 1d10 damage, fatigue."
persistent-image,"As <i><a href=""spells/majorImage.html#_major-image"">major image</a></i>, but with no concentration required."
seeming,Changes appearance of 1 person per 2 levels.
shadow-evocation,"Mimics evocation below 5th level, but only 20% real."
blight,Withers one plant or deals 1d6/level damage to plant creature.
magic-jar,Enables possession of another creature.
symbol-of-pain,Triggered rune wracks creatures with pain.
waves-of-fatigue,"Several targets become <a href=""glossary.html#_fatigued"">fatigued</a>."
animal-growth,One animal doubles in size.
baleful-polymorph,Turns subject into harmless animal.
beast-shape-iii,"You take the form of a Diminutive or Huge animal, or Small or Medium magical beast."
elemental-body-ii,Turns you into a Medium elemental.
fabricate,Transforms raw materials into finished items.
overland-flight,You fly at a speed of 40 ft. and can hustle over long distances.
passwall,Creates passage through wood or stone wall.
plant-shape-i,Turns you into a Small or Medium plant.
polymorph,Gives one willing subject a new form.
telekinesis,"Moves object, attacks creature, or hurls object or creature."
transmute-mud-to-rock,Transforms two 10-ft. cubes per level.
transmute-rock-to-mud,Transforms two 10-ft. cubes per level.
permanency,Makes certain spells permanent.
antimagic-field,Negates magic within 10 ft.
dispel-magic-greater,"As <i><a href=""spells/dispelMagic.html#_dispel-magic"">dispel magic</a></i>, but with multiple targets."
globe-of-invulnerability,"As <i><a href=""spells/globeOfInvulnerability.html#_globe-of-invulnerability-lesser"">lesser globe of invulnerability</a></i>, plus 4th-level spell effects."
guards-and-wards,Array of magic effects protect area.
repulsion,Creatures can't approach you.
acid-fog,Fog deals acid damage.
planar-binding,"As <i><a href=""spells/planarBinding.html#_planar-binding-lesser"">lesser planar binding</a>, </i>but up to 12 HD."
summon-monster-vi,Summons extraplanar creature to fight for you.
wall-of-iron,30 hp/four levels; can topple onto foes.
analyze-dweomer,Reveals magical aspects of subject.
legend-lore,"Lets you learn tales about a person, place, or thing."
true-seeing,Lets you see all things as they really are.
geas-quest,"As <i>lesser geas, </i>but affects any creature."
heroism-greater,"Gives +4 bonus on attack rolls, saves, skill checks; immunity to fear; temporary hp."
suggestion-mass,"As <i><a href=""spells/suggestion.html#_suggestion"">suggestion</a>, </i>affects 1 subject/level."
symbol-of-persuasion,Triggered rune charms creatures.
chain-lightning,1d6/level damage and 1 secondary bolt/level.
contingency,Sets trigger condition for another spell.
forceful-hand,Hand pushes creatures away.
freezing-sphere,Freezes water or deals cold damage.
mislead,"Turns you <a href=""glossary.html#_invisible"">invisible</a> and creates illusory double."
permanent-image,"Permanent illusion, includes sight, sound, smell, and thermal effects."
programmed-image,"As <i><a href=""spells/majorImage.html#_major-image"">major image</a></i>, but triggered by event."
shadow-walk,Step into shadow to travel rapidly.
veil,Changes appearance of a group of creatures.
circle-of-death,Kills 1d4/level HD of creatures.
create-undead,"Raises ghouls, ghasts, mummies, or mohrgs from physical remains."
eyebite,"Target becomes <a href=""glossary.html#_panicked"">panicked</a>, <a href=""glossary.html#_sickened"">sickened</a>, and comatose."
symbol-of-pain,Triggered rune panics nearby creatures.
undeath-to-death,Destroys 1d4/level HD of undead (max. 20d4).
bear-s-endurance-mass,"As <i><a href=""spells/bearSEndurance.html#_bear-s-endurance"">bear's endurance</a></i>, affects one subject/level."
beast-shape-iv,You take the form of a Diminutive to Huge animal or a Tiny to Large magical beast.
bull-s-strength-mass,"As <i><a href=""spells/bullSStrength.html#_bull-s-strength"">bull's strength</a></i>, affects 1 subject per level."
cat-s-grace-mass,"As <i><a href=""spells/catSGrace.html#_cat-s-grace"">cat's grace</a></i>, affects 1 subject/level."
control-water,Raises or lowers bodies of water.
disintegrate,Reduces one creature or object to dust.
eagle-s-splendor-mass,"As <i><a href=""spells/eagleSSplendor.html#_eagle-s-splendor"">eagle's splendor</a></i>, 1 subject/level."
elemental-body-iii,Turns you into a Large elemental.
flesh-to-stone,Turns subject creature into statue.
form-of-the-dragon-i,Turns you into a Medium dragon.
fox-s-cunning-mass,"As <i><a href=""spells/foxSCunning.html#_fox-s-cunning"">fox's cunning</a></i>, affects 1 subject/ level."
mage-s-lucubration,<i>Wizard only. </i>Recalls spell of 5th level or lower.
move-earth,Digs trenches and builds hills.
owl-s-wisdom-mass,"As <i><a href=""spells/owlSWisdom.html#_owl-s-wisdom"">owl's wisdom</a></i>, affects 1 subject/level."
plant-shape-ii,Turns you into a Large plant creature.
stone-to-flesh,"Restores <a href=""glossary.html#_petrified"">petrified</a> creature."
transformation,You gain combat bonuses.
banishment,Banishes 2 HD/level of extraplanar creatures.
sequester,"Subject is <a href=""glossary.html#_invisible"">invisible</a> to sight and <a href=""spells/scrying.html#_scrying"">scrying</a>; renders creature comatose."
spell-turning,Reflect 1d4+6 spell levels back at caster.
instant-summons,Prepared object appears in your hand.
mage-s-magnificent-mansion,Door leads to extradimensional mansion.
phase-door,"Creates an <a href=""glossary.html#_invisible"">invisible</a> passage through a barrier."
plane-shift,As many as eight subjects travel to another plane.
summon-monster-vii,Summons extraplanar creature to fight for you.
teleport-greater,"As <i><a href=""spells/teleport.html#_teleport"">teleport</a>, </i>but no range limit and no off-target arrival."
teleport-object,"As <i><a href=""spells/teleport.html#_teleport"">teleport</a>, </i>but affects a touched object."
arcane-sight-greater,"As <i><a href=""spells/arcaneSight.html#_arcane-sight"">arcane sight</a></i>, but also reveals magic effects on creatures and objects."
scrying-greater,"As <i><a href=""spells/scrying.html#_scrying"">scrying</a></i>, but faster and longer."
vision,"As <i><a href=""spells/legendLore.html#_legend-lore"">legend lore</a></i>, but quicker."
hold-person-mass,"As <i><a href=""spells/holdPerson.html#_hold-person"">hold person</a></i>, but all within 30 ft."
insanity,"Subject suffers continuous <i><a href=""spells/confusion.html#_confusion"">confusion</a></i>."
power-word-blind,Blinds creature with 200 hp or less.
symbol-of-stunning,Triggered rune stuns creatures.
delayed-blast-fireball,1d6/level fire damage; you can postpone blast for up to 5 rounds.
forcecage,Cube or cage of force imprisons all inside.
grasping-hand,"Hand provides cover, pushes, or grapples."
mage-s-sword,Floating magic blade strikes opponents.
prismatic-spray,Rays hit subjects with variety of effects.
invisibility-mass,"As <i><a href=""spells/invisibility.html#_invisibility"">invisibility</a></i>, but affects all in range."
project-image,Illusory double can talk and cast spells.
shadow-conjuration-greater,"As <i><a href=""spells/shadowConjuration.html#_shadow-conjuration"">shadow conjuration</a>, </i>but up to 6th level and 60% real."
simulacrum,Creates partially real double of a creature.
control-undead,Undead don't attack you while under your command.
finger-of-death,Deals 10 damage/level to one subject.
symbol-of-weakness,Triggered rune weakens creatures.
waves-of-exhaustion,"Several targets become <a href=""glossary.html#_exhausted"">exhausted</a>."
control-weather,Changes weather in local area.
elemental-body-iv,Turns you into a Huge elemental.
ethereal-jaunt,You become ethereal for 1 round/level.
form-of-the-dragon-ii,Turns you into a Large dragon.
giant-form-i,Turns you into a Large giant.
plant-shape-iii,Turns you into a Huge plant.
polymorph-greater,"Gives one willing subject a new, more powerful form."
reverse-gravity,Objects and creatures fall upward.
statue,Subject can become a statue at will.
limited-wish,Alters reality (within limits).
dimensional-lock,Teleportation and interplanar travel blocked for 1 day/level.
mind-blank,"Subject is protected from mental/emotional magic and <a href=""spells/scrying.html#_scrying"">scrying</a>."
prismatic-wall,Wall's colors have array of effects.
protection-from-spells,Confers +8 resistance bonus.
incendiary-cloud,Cloud deals 6d6 fire damage/round.
maze,Traps subject in extradimensional maze.
planar-binding-greater,"As <i><a href=""spells/planarBinding.html#_planar-binding-lesser"">lesser planar binding</a>, </i>but up to 18 HD."
summon-monster-viii,Summons extraplanar creature to fight for you.
trap-the-soul,Imprisons subject within gem.
discern-location,Reveals exact location of creature or object.
moment-of-prescience,"You gain +1/level insight bonus on single attack roll, check, or save."
prying-eyes-greater,"As <i><a href=""spells/pryingEyes.html#_prying-eyes"">prying eyes</a></i>, but eyes have <i><a href=""spells/trueSeeing.html#_true-seeing"">true seeing</a></i>."
antipathy,Object or location affected by spell repels certain creatures.
binding,Utilizes an array of techniques to imprison a creature.
charm-monster-mass,"As <i><a href=""spells/charmMonster.html#_charm-monster"">charm monster</a>, </i>but all within 30 ft."
demand,"As <i><a href=""spells/sending.html#_sending"">sending</a>, </i>plus you can send <i><a href=""spells/suggestion.html#_suggestion"">suggestion</a>.</i>"
irresistible-dance,Forces subject to dance.
power-word-stun,Stuns creature with 150 hp or less.
symbol-of-insanity,Triggered rune renders nearby creatures insane.
sympathy,Object or location attracts certain creatures.
clenched-fist,"Large hand provides cover, pushes, or attacks your foes."
polar-ray,"Ranged touch attack deals 1d6/level cold damage and 1d4 points of <a href=""gettingStarted.html#_dexterity"">Dexterity</a> drain."
shout-greater,Devastating yell deals 10d6 sonic damage; stuns creatures.
sunburst,"Blinds all within 10 ft., deals 6d6 damage."
telekinetic-sphere,"As<i> <a href=""spells/resilientSphere.html#_resilient-sphere"">resilient sphere</a>, </i>but you move the sphere telekinetically."
scintillating-pattern,"Twisting colors <i>confuse, </i>stun, or render <a href=""glossary.html#_unconscious"">unconscious</a>."
screen,"Illusion hides area from vision and <a href=""spells/scrying.html#_scrying"">scrying</a>."
shadow-evocation-greater,"As <i><a href=""spells/shadowEvocation.html#_shadow-evocation"">shadow evocation</a>, </i>but up to 7th level and 60% real."
clone,Duplicate awakens when original dies.
create-greater-undead,"Creates shadows, wraiths, spectres, or devourers."
horrid-wilting,Deals 1d6/level damage within 30 ft.
symbol-of-death,Triggered rune kills nearby creatures.
form-of-the-dragon-iii,Turns you into a Huge dragon.
giant-form-ii,Turns you into a Huge giant.
iron-body,Your body becomes living iron.
polymorph-any-object,Changes a subject into anything else.
temporal-stasis,Puts subject into suspended animation.
freedom,"Releases creature from <i><a href=""spells/imprisonment.html#_imprisonment"">imprisonment</a>.</i>"
imprisonment,Entombs subject beneath the earth.
mage-s-disjunction,"Dispels magic, disenchants magic items."
prismatic-sphere,"As <i><a href=""spells/prismaticWall.html#_prismatic-wall"">prismatic wall</a></i>, but surrounds on all sides."
gate,Connects two planes for travel or summoning.
refuge,Alters item to transport its possessor to your abode.
summon-monster-ix,Summons extraplanar creature to fight for you.
teleportation-circle,Teleports creatures inside circle.
foresight,“Sixth sense” warns of impending danger.
dominate-monster,"As <i><a href=""spells/dominatePerson.html#_dominate-person"">dominate person</a>, </i>but any creature."
hold-monster-mass,"As <i><a href=""spells/holdMonster.html#_hold-monster"">hold monster</a>, </i>but all within 30 ft."
power-word-kill,Kills one creature with 100 hp or less.
crushing-hand,"Large hand provides cover, pushes, or crushes your foes."
meteor-swarm,Four exploding spheres each deal 6d6 fire damage.
shades,"As <i><a href=""spells/shadowConjuration.html#_shadow-conjuration"">shadow conjuration</a></i>, but up to 8th level and 80% real."
weird,"As <i><a href=""spells/phantasmalKiller.html#_phantasmal-killer"">phantasmal killer</a>, </i>but affects all within 30 ft."
astral-projection,Projects you and companions onto Astral Plane.
energy-drain,"Subject gains 2d4 <a href=""glossary.html#_energy-drain-and-negative-levels"">negative levels</a>."
soul-bind,"Traps newly dead soul to prevent <i><a href=""spells/resurrection.html#_resurrection"">resurrection</a></i>."
wail-of-the-banshee,Deals 10 damage/level to 1 creature/level.
etherealness,Travel to Ethereal Plane with companions.
shapechange,"Transforms you into certain creatures, and lets you change forms once per round."
time-stop,You act freely for 1d4+1 rounds.
wish,"As <i><a href=""spells/limitedWish.html#_limited-wish"">limited wish</a>, </i>but with fewer limits."
ant-haul-,Triples carrying capacity of a creature.
bomber's-eye,Increases thrown weapon range; +1 attack.
crafter's-fortune,"Subject gains +5 on next <a href=""../skills/craft.html#_craft"">Craft</a> check."
keen-senses,"Gain +2 <a href=""../skills/perception.html#_perception"">Perception</a> and low-light vision."
negate-aroma,Subject cannot be tracked by scent.
stone-fist,Your unarmed strikes are lethal.
touch-of-the-sea,"<a href=""../skills/swim.html#_swim"">Swim</a> speed becomes 30 ft."
alchemical-allocation,Gain potion's benefits without consuming it.
elemental-touch,Gain energy damage touch attack.
fire-breath,Exhale a cone of flame at will.
perceive-cues,"+5 <a href=""../skills/perception.html#_perception"">Perception</a> and <a href=""../skills/senseMotive.html#_sense-motive"">Sense Motive</a> 10 min./level."
transmute-potion-to-poison,Spit poison onto weapon after drinking potion.
vomit-swarm,Produces a spider swarm that fights for you.
absorbing-touch,Caster absorbs an item for 1 day/level.
amplify-elixir,Empowers or extends the effects of any potion or elixir.
bloodhound,Enhances sense of smell and grants the caster the scent special ability.
draconic-reservoir-,Subject can absorb energy damage and enhance melee attacks with it.
elemental-aura,Creates an aura of energy around you.
seek-thoughts,Detects thinking creatures' thoughts.
thorn-body,Those attacking you take 1d6 +1 damage/level.
detonate,Inflicts 1d8/level energy damage to all creatures within 15 ft.
dragon's-breath,Gives you a dragon's breath weapon.
fluid-form,"Gain DR 10/slashing, increases reach 10 ft., and breathe water."
universal-formula,Acts as any extract 3rd level or lower.
delayed-consumption,Extract doesn't come into effect until you want it to.
elude-time,Puts you in temporary suspended animation.
planar-adaptation,Resist harmful effects of one plane.
resurgent-transformation,Gain second wind when close to death.
twin-form,Creates controllable duplicate of you.
weapons-bane,Enemies take &#8211;1 on attack rolls and saves vs. fear.
cause-fear,A creature of 5 HD or less flees for 1d4 rounds.
command,One subject obeys a command for 1 round.
curse-water,Makes water unholy.
death-knell,"Kills dying creature; you gain 1d8 temporary hp, +2 to Str, and +1 caster level."
detect-poison,Detects poison in a creature or object.
disguise-self,Changes your appearance.
doom,"One subject takes &#8211;2 on attack rolls, damage rolls, saves, and checks."
inflict-light-wounds,Touch deals 1d8 damage +1/level (max +5).
magic-weapon,Weapon gains +1 bonus.
protection-from-good,"+2 to AC and saves, plus additional protection against selected alignments."
read-magic,Read scrolls and spellbooks.
summon-monster-i,<i>(Evil creatures only.) </i>Summons extraplanar creature to fight for you.
blindness-deafness,Makes subject blind or deaf.
bull-s-strength,Subject gains +4 to Str for 1 min./level.
corruption-resistance,Protects creature against damage from alignment-based attacks.
darkness,20-ft. radius of supernatural shadow.
darkvision,See 60 ft. in total darkness.
desecrate,Fills area with negative energy; aids undead.
eagle-s-splendor,Subject gains +4 to Cha for 1 min./level.
hold-person,Paralyzes one humanoid for 1 round/level.
invisibility,Subject is invisible for 1 min./level or until it attacks.
scare,Frightens creature of less than 6 HD.
silence,Negates sound in 20-ft. radius.
summon-monster-ii,<i>(Evil creatures only.)</i> Summons extraplanar creature to fight for you.
undetectable-alignment,Conceals alignment for 24 hours.
animate-dead,Creates undead skeletons and zombies.
bestow-curse,"&#8211;6 to an ability score; &#8211;4 on attack rolls, saves, and checks; or 50% chance of losing each action."
contagion,Infects subject with chosen disease.
deeper-darkness,Object sheds shadows in 60-ft. radius.
defile-armor,"As <i><a href=""spells/sanctifyArmor.html#_sanctify-armor"">sanctify armor</a></i>, but gain DR 5/good when using judgment or smite."
dispel-magic,Cancels one magical spell or effect.
inflict-moderate-wounds,"Touch attack, 2d8 damage +1/level (max +10)."
magic-circle-against-good,"As <i>protection </i>spells, but 10-ft. radius and 10 min./level."
magic-weapon-greater,Weapon gains +1 bonus/four levels (max +5).
nondetection,"Hides subject from divination, scrying."
summon-monster-iii,<i>(Evil creatures only.)</i> Summons extraplanar creature to fight for you.
vampiric-touch,Touch deals 1d6 damage/2 levels; caster gains damage as temporary hp.
dispel-good,+4 against attacks by good creatures.
dispel-law,+4 against attacks by lawful creatures.
fear,Subjects within cone flee for 1 round/level.
inflict-serious-wounds,"Touch attack, 3d8 damage +1/level (max +15)."
invisibility-greater,"As <i><a href=""../spells/invisibility.html#_invisibility"">invisibility</a></i>, but subject can attack and stay invisible."
poison,Touch deals 1d3 Con damage 1/round for 6 rounds.
resounding-blow,Melee attack deals 1d6 more damage.
slay-living,Touch attack deals 12d6 +1 per level.
summon-monster-iv,<i>(Evil creatures only.)</i> Summons extraplanar creature to fight for you.
sift,See area as though examining it.
spark-,Ignites flammable objects.
unwitting-ally,Subject is considered ally for 1 round.
beguiling-gift,Subject immediately accepts an offered item and uses it.
borrow-skill,Make a skill check using another's ranks.
dancing-lantern-,Animates a lantern that follows you.
feather-step,Ignore movement penalty in difficult terrain.
flare-burst,"As flare, but on all creatures within 10 ft."
innocence,"Gain +10 on <a href=""../skills/bluff.html#_bluff"">Bluff</a> checks to seem innocent."
invigorate,Temporarily relieves fatigue or exhaustion.
memory-lapse,Subject forgets events back to last turn.
restful-sleep,Gain more hit points while sleeping.
saving-finale,Subject rerolls failed saving throw.
share-language-,Subject understands chosen language.
solid-note,Creates tangible music note.
timely-inspiration,Gives bonus on failed check/attack.
touch-of-gracelessness,Subject loses 1d6 + 1 Dex/two levels and is prone to falling down.
vanish,"As <i><a href=""../spells/invisibility.html#_invisibility"">invisibility</a></i> for 1 round/level (5 max)."
blood-biography-,Learn about a creature with its blood.
cacophonous-call,Nauseates target.
create-treasure-map-,Creates a treasure map out of a creature's corpse.
dust-of-twilight,Black particles extinguish light sources.
enter-image-,Transfers your consciousness to an object bearing your likeness.
gallant-inspiration,+2d4 bonus on failed attack roll or skill check.
ghostbane-dirge,Incorporeal creature takes half damage from nonmagical weapons.
hidden-speech,"Gain +10 on <a href=""../skills/bluff.html#_bluff"">Bluff</a> to send secret messages."
honeyed-tongue,"Roll 2 dice when using <a href=""../skills/diplomacy.html#_diplomacy"">Diplomacy</a>, take higher roll."
versatile-weapon,Weapon bypasses some DR.
arcane-concordance,Grants metamagic to arcane spells.
campfire-wall-,Creates a shelter around a campfire.
coordinated-effort,Grants a teamwork feat you have.
elemental-speech,Enables you to speak to elementals and some creatures.
"feather-step,-mass","As <i><a href=""spells/featherStep.html#_feather-step"">feather step</a></i>, but multiple creatures."
"invigorate,-mass","As <i><a href=""spells/invigorate.html#_invigorate"">invigorate</a></i>, but multiple creatures."
jester's-jaunt,Teleport target within 30 ft. of itself.
purging-finale,Removes one negative effect.
reviving-finale,Allies cured 2d6 damage.
seek-thoughts,Detects thinking creatures' thoughts.
thundering-drums,1d8 damage/level and knocked prone.
denounce,Worsens attitudes toward target creature.
discordant-blast,3d6 sonic damage in 10-ft. burst or 30-ft. cone can also bull rush creatures.
"ghostbane-dirge,-mass","As <i><a href=""spells/ghostbaneDirge.html#_ghostbane-dirge"">ghostbane dirge</a></i>, but affecting multiple creatures."
heroic-finale,Subject within range of your bardic performance can take an action.
treasure-stitching-,Objects on cloth become embroidered.
wandering-star-motes,"Outlines subject, produces light."
bard's-escape,You and allies escape an emergency by teleporting to safety.
"cacophonous-call,-mass",Nauseates multiple targets.
cloak-of-dreams,Living creatures within 5 ft. fall asleep.
deafening-song-bolt,Blast of song deals 3d10 damage and deafens targets.
foe-to-friend,Redirect an enemy creature's attack.
frozen-note-,Paralyzes creatures listening to your song.
phantasmal-web,Catches subjects in illusory web.
stunning-finale,Stuns 3 creatures for 1 round.
unwilling-shield,Subject shares wounds you receive.
brilliant-inspiration,Take best of two d20 rolls.
deadly-finale,Deals 2d8 damage to multiple targets.
euphoric-tranquility,Makes a single creature peaceful and friendly.
fool's-forbiddance,Confuses enemies who come within a magical emanation centered on you.
getaway-,Teleports a group of predetermined allies and creatures to a predetermined location.
pied-piping-,Compel similar creatures to follow you.
spark-,Ignites flammable objects.
ant-haul-,Triples carrying capacity of a creature.
dancing-lantern-,Animates a lantern that follows you.
blessing-of-courage-and-life,+2 on saves vs. fear and death.
ghostbane-dirge,Incorporeal creature takes half damage from nonmagical weapons.
grace,Movement doesn't provoke attacks of opportunity.
instant-armor-,Summon armor temporarily replacing your current attire.
oracle's-burden,<i>(Oracle only.)</i> Creature is affected by negative oracle's curse effects.
share-language-,Subject understands chosen language.
weapon-of-awe,Weapon gets +2 on damage rolls.
blood-biography-,Learn about a creature with its blood.
borrow-fortune,"<i>(Oracle only.)</i> Retry attack or check, but do worse on next two."
elemental-speech,You can speak with elementals and some creatures.
enter-image-,Transfers your consciousness to an object bearing your likeness.
guiding-star-,Know approximate distance from where you cast this spell.
nap-stack-,"Subjects only need 2 hours for a night's sleep, and can sleep even longer for more benefits."
sacred-bond,Cast touch healing spells from a distance.
wrathful-mantle,Subject gets +1/four levels on all saves.
blessing-of-fervor,Gives allies a choice of benefits.
planar-adaptation,Resist harmful effects of other plane.
rest-eternal,Dead creature cannot be revived.
spiritual-ally,Creates a divine ally to aid you.
cleanse,Cures 4d8 damage +1/level (max +25) and also removes several afflictions.
"ghostbane-dirge,-mass","As <i><a href=""spells/ghostbaneDirge.html#_ghostbane-dirge"">ghostbane dirge</a></i>, but affects multiple creatures."
life-bubble-,Protects creatures from environment.
pillar-of-life,Created pillar heals 2d8 + 1/level (max +20).
snake-staff,Transforms staff or other wood into snakes to fight for you.
treasure-stitching-,Objects on cloth become embroidered.
"planar-adaptation,-mass","As <i><a href=""spells/planarAdaptation.html#_planar-adaptation"">planar adaptation</a></i>, but affects multiple creatures."
divine-vessel,"<i>(Oracle only.)</i> Change into a huge, otherworldly creature."
euphoric-tranquility,Makes a single creature peaceful and friendly.
stormbolts,1d8 damage/level (max 20d8) to targets.
winds-of-vengeance,Grants flight; attack with wind.
spark-,Ignites flammable objects.
alter-winds,Increase/decrease strength of natural winds.
ant-haul-,Triples carrying capacity of a creature.
aspect-of-the-falcon,"Gives bonuses on <a href=""../skills/perception.html#_perception"">Perception</a> checks and ranged attacks."
bristle-,Trade natural armor bonus for a bonus on attacks with natural weapons.
call-animal,Makes an animal come to you.
cloak-of-shade,Reduces effects of sun exposure and heat.
detect-aberration,Reveals presence of aberrations.
expeditious-excavation,Moves 5-ft. cubes of earth.
feather-step,Ignore movement penalty in difficult terrain.
flare-burst,"As <i><a href=""../spells/flare.html#_flare"">flare</a></i>, but all creatures within 10 ft."
hydraulic-push-,Wave of water bull rushes an enemy.
keen-senses,"Gain +2 <a href=""../skills/perception.html#_perception"">Perception</a> and low-light vision."
negate-aroma,Subject cannot be tracked by scent.
stone-fist,Your unarmed strikes are lethal.
touch-of-the-sea,"<a href=""../skills/swim.html#_swim"">Swim</a> speed becomes 30 ft."
accelerate-poison,Hastens targeted poison's onset.
aspect-of-the-bear,+2 AC and combat maneuver rolls.
burning-gaze,Inflict 1d6 fire damage to creature.
campfire-wall-,Creates a shelter around a campfire.
eagle-eye,Creates a magical sensor high above you.
